tour_id,stories_in_story_details,stories_in_events,stories_in_website
51,243,113.0,113
55,154,82.0,82
79,20,19.0,19
83,19,9.0,
86,17,13.0,13
91,51,51.0,51
107,220,77.0,83
121,30,29.0,30
126,20,20.0,20
139,60,23.0,50
141,20,2.0,20
181,57,31.0,31
226,118,78.0,78
239,31,25.0,30
240,83,80.0,80
252,43,43.0,43
262,51,3.0,50
271,54,44.0,
277,70,70.0,70
278,112,105.0,105
280,58,39.0,52
283,99,99.0,99
284,67,57.0,64
285,61,60.0,60
286,40,40.0,40
287,56,56.0,56
288,55,55.0,55
296,105,97.0,102
299,52,3.0,
300,50,1.0,50
309,57,53.0,52
312,72,72.0,72
332,78,59.0,78
333,81,67.0,80
334,82,79.0,80
337,75,3.0,75
340,58,38.0,58
355,98,7.0,19
375,47,44.0,44
385,40,13.0,
390,39,1.0,
394,51,4.0,
403,92,92.0,92
410,20,20.0,20
414,56,7.0,42
415,162,100.0,100
416,144,84.0,84
426,50,47.0,49
428,45,11.0,40
432,46,23.0,46
433,49,49.0,49
434,101,83.0,83
436,51,51.0,51
437,50,50.0,50
447,140,73.0,73
448,44,38.0,43
449,33,33.0,33
454,80,80.0,80
456,49,46.0,46
459,119,33.0,118
460,77,76.0,76
461,67,67.0,67
463,62,31.0,62
469,30,16.0,
472,61,3.0,60
473,94,67.0,92
479,59,59.0,59
487,43,43.0,43
490,48,46.0,46
491,35,35.0,35
492,40,40.0,40
493,62,3.0,62
494,61,59.0,
500,47,47.0,47
504,44,30.0,40
505,43,43.0,48
506,51,51.0,51
507,73,71.0,72
508,93,93.0,93
512,85,85.0,85
515,59,53.0,53
520,225,79.0,79
521,72,72.0,72
522,55,55.0,55
523,129,67.0,67
524,41,41.0,41
525,105,37.0,52
526,53,53.0,53
528,52,52.0,52
530,57,57.0,57
532,80,80.0,80
535,71,71.0,71
537,54,54.0,54
538,78,69.0,78
539,76,76.0,76
540,76,76.0,76
541,90,90.0,90
542,51,44.0,50
543,63,3.0,
545,47,47.0,47
546,36,36.0,36
547,44,8.0,44
550,220,111.0,111
552,77,75.0,75
554,78,1.0,78
565,143,143.0,143
567,56,10.0,56
569,19,8.0,19
591,38,38.0,38
594,33,5.0,
601,32,32.0,32
612,283,136.0,283
615,54,51.0,54
616,42,42.0,42
617,61,61.0,61
618,67,67.0,67
619,71,70.0,70
620,263,9.0,
621,39,39.0,39
622,60,1.0,
623,44,41.0,43
624,48,48.0,48
632,55,55.0,55
634,106,86.0,106
637,69,69.0,69
638,46,9.0,45
639,148,148.0,148
641,81,80.0,80
642,72,72.0,72
643,53,53.0,99
644,109,109.0,109
645,150,145.0,150
646,39,2.0,40
649,41,38.0,7
771,7,6.0,7
772,14,14.0,14
775,98,98.0,98
778,58,58.0,58
781,41,26.0,
784,81,81.0,81
788,132,132.0,132
790,92,70.0,
791,199,147.0,198
792,16,16.0,16
799,61,61.0,61
800,106,97.0,105
801,74,74.0,74
813,79,79.0,79
814,76,76.0,76
820,80,35.0,
821,106,57.0,57
822,82,48.0,
824,70,15.0,65
825,102,42.0,101
830,147,147.0,147
831,129,77.0,92
834,148,9.0,
835,140,4.0,140
845,47,7.0,47
846,40,19.0,40
847,74,74.0,74
855,71,49.0,
858,92,71.0,
859,113,73.0,
860,118,36.0,
861,31,18.0,
862,42,22.0,
863,85,40.0,
864,109,56.0,
865,76,49.0,
866,64,33.0,
867,90,64.0,
868,53,36.0,
869,77,47.0,
872,80,44.0,
873,47,26.0,
875,72,39.0,
876,107,61.0,
877,150,83.0,
878,98,55.0,
893,58,58.0,
896,39,14.0,
897,50,16.0,
898,42,12.0,12
903,56,53.0,
908,67,67.0,
909,53,53.0,
910,51,4.0,
